code	species	DroughtTol	ShadeTol	WaterlogTol	WoodDensity	MaxHeight	SeedMass	AngiosGymnos	SeedDisp
1	abiebals	2	100	2	0.36	2500	0.934498	G	W
2	acerrubr	3	137	3.08	0.49	2500	1.392697	A	W
3	acersacc	2	100	1.09	0.56	3500	1.749736	A	W
4	betualle	2	175	2	0.55	3000	0.30103	A	W
5	betupapy	2	210	1.25	0.48	3000	0.113943	A	W
6	betupopu	2	210	1	0.45	1000	0.041393	A	W
7	fagugran	3	100	1.5	0.56	2500	2.426511	A	A
8	fraxamer	3	180	2.59	0.55	3000	1.583199	A	W
9	larilari	4	213	3	0.49	2438.4	0.477121	G	W
10	piceabie	2	137	1.22	0.37023	3000	0.90309	G	W
11	piceglau	3	137	1.02	0.37	3000	0.531479	G	W
12	picemari	4	137	2	0.38	3000	0.326336	G	W
13	picerube	4	137	2	0.37	4000	0.633468	G	W
14	pinuresi	4	230	1	0.41	3700	1	G	W
15	pinustro	4	200	1.03	0.34	6700	1.255273	G	W
16	popugran	1	250	2	0.36	3500	0.060698	A	W
17	poputrem	1	250	1.77	0.35	3500	0.041393	A	W
18	thujocci	2	150	1.46	0.29	1500	0.39794	G	W
19	tsugcana	2	100	1.25	0.38	3000	0.60206	G	W
