code	species	DroughtTol	ShadeTol	WaterlogTol	WoodDensity	MaxHeight	SeedMass	LeafMassArea	Nmass	AM	ECM	AG	ModeReproduction	g	ez	zz	bi	w	e	hd
1	abiebals	1	5.01	2	0.36	2500	0.934498	143	1.45	N	Y	G	2	0	1	0	0	1	0	0
2	acerrubr	1.84	3.44	3.08	0.49	2500	1.392697	71.09371	1.913838	Y	N	A	2	0	0	0	0	1	1	0
3	acersacc	2.25	4.76	1.09	0.56	3500	1.749736	70.62732	1.831675	Y	N	A	2	0	0	0	0	1	1	0
4	betualle	3	3.17	2	0.55	3000	0.30103	46.08295	2.2	N	Y	A	2	0	0	0	0	1	0	0
5	betupapy	2.02	1.54	1.25	0.48	3000	0.113943	85.50806	2.208402	N	Y	A	2	0	0	0	0	1	1	0
6	betupopu	2.34	1.5	1	0.45	1000	0.041393	58.4449	1.79	N	Y	A	2	0	0	0	0	1	0	0
7	fagugran	1.5	4.75	1.5	0.56	2500	2.426511	60.83365	2.035	N	Y	A	1	1	1	1	1	0	0	0
8	fraxamer	2.38	2.46	2.59	0.55	3000	1.583199	69.12662	2.1209	Y	N	A	2	0	0	0	0	1	1	0
9	larilari	2	0.98	3	0.49	2438.4	0.477121	120	1.355	N	Y	G	2	0	1	0	0	1	0	0
10	piceabie	1.75	4.45	1.22	0.37023	3000	0.90309	235.1842	1.19	Y	Y	G	1	0	0	0	0	1	0	0
11	piceglau	2.88	4.15	1.02	0.37	3000	0.531479	302.86	1.283333	N	Y	G	2	0	1	0	0	1	0	0
12	picemari	2	4.08	2	0.38	3000	0.326336	294.12	1.043333	N	Y	G	1	0	0	0	0	1	0	0
13	picerube	2.5	4.39	2	0.37	4000	0.633468	263	1.2	N	Y	G	2	0	1	0	0	1	0	0
14	pinuresi	3	1.89	1	0.41	3700	1	294.12	1.17	N	Y	G	3	0	1	0	1	1	0	0
15	pinustro	2.29	3.21	1.03	0.34	6700	1.255273	121.9154	1.423333	N	Y	G	3	0	1	0	1	1	0	0
16	popugran	2.5	1.21	2	0.36	3500	0.060698	70.44654	2.5	Y	Y	A	1	0	0	0	0	1	1	0
17	poputrem	1.77	1.21	1.77	0.35	3500	0.041393	79.6646	2.053493	Y	Y	A	1	0	0	0	0	1	1	0
18	thujocci	2.71	3.45	1.46	0.29	1500	0.39794	223	1.02	Y	N	G	1	0	1	0	0	1	0	0
19	tsugcana	1	4.83	1.25	0.38	3000	0.60206	122.549	0.99	N	Y	G	3	0	1	0	0	1	0	0
