LandisData PnETSpeciesParameters
PnETSpeciesParameters	KWdLit	FolLignin	H3	H4		FolN	SLWmax	SLWDel	TOfol	AmaxA	AmaxB	HalfSat		PsnTMin		PsnTOpt		k		FracBelowG	FracFol	FrActWd 
abiebals				0.125	0.25		105	145		0.75    215		0		0.25	5.3		21.5	100			2			19			0.5		0.3			0.08	0.00002     
acerrubr				0.081	0.11		111	152		1.58    80		0.2		1		-46		71.9	137			4			26			0.58	0.3			0.03	0.00004     
acersacc				0.075	0.11		105	145		1.5     70		0.2		1		-46		71.9	100			2			23			0.58	0.4			0.03	0.00004     
betualle				0.075	0.11		105	145		1.65    80		0.2		1		-46		71.9	175			3			21			0.58	0.4			0.03	0.00004    
>>betulent				0.149	0.15		105	145		1.5     80		0.2		1		-46		71.9	137			3			21			0.58	0.4			0.03	0.00004     
betupapy				0.075	0.11		105	145		1.4     80		0.2		1		-46		71.9	137			3			21			0.58	0.3			0.03	0.00004     
betupopu				0.075	0.11		105	145		1.4     80		0.2		1		-46		71.9	137			3			21			0.58	0.4			0.03	0.00004     
>>caryglab				0.166	0.17		111	152		1.56    90		0.2		1		-46		71.9	175			2			23			0.58	0.4			0.03	0.00004     
fagugran				0.075	0.24		111	152		1.4     80		0.2		1		-46		71.9	100			2			23			0.58	0.4			0.03	0.00004    
fraxamer				0.075	0.12		111	152		1.80    85		0.2		1		-46		71.9	250			3			25			0.58	0.4			0.03	0.00004     
>>fraxnigr				0.075	0.12		111	152		1.62    85		0.2		1		-46		71.9	137			3			23			0.58	0.4			0.03	0.00004     
larilari				0.125	0.25		118	160		1.2     110		0		1		5.3		21.5	213			1			20			0.58	0.4			0.12	0.00004     
>>ostrvirg				0.075	0.12		111	152		1.21    100		0.2		1		-46		71.9	137			3			23			0.58	0.4			0.03	0.00004     
piceabie				0.150	0.25		105	143		1.20    220		0		0.11 	5.3		21.5 	210			0			17			0.5		0.3			0.10	0.00004    
piceglau				0.125	0.25		118	160		1.0     250		0		0.25	5.3		21.5	175			2			20			0.5		0.3			0.08	0.00002     
picemari				0.125	0.25		118	160		0.50    250		0		0.25	5.3		21.5	175			2			20			0.5		0.3			0.1		0.00002     
picerube				0.125	0.25		118	160		0.60    250		0		0.25 	5.3		21.5 	200			2			20			0.5		0.3			0.08	0.00002     
pinuresi				0.125	0.25		118	160		1.2     250		0		0.3333	5.3		21.5	213			3			21			0.5		0.4			0.12	0.00005    
>>pinurigi				0.063	0.25		118	160		1.2     250		0		0.3333	5.3		21.5	213			3			21			0.5		0.4			0.12	0.00005     
pinustro				0.125	0.25		118	160		1.3	    235		0		0.5		5.3		21.5	275			3			21			0.5		0.4			0.09	0.00004     
>>pinutaed				0.125	0.25		118	160		0.78    250		0		0.3333	5.3		21.5	213			5			30			0.5		0.4			0.12	0.00005     
>>popubals				0.107	0.16		100	140		1.44    115		0.2		1		-46		71.9	250			0			21			0.58	0.3			0.03	0.00004     
popugran				0.107	0.16		100	140		1.70    115		0.2		1		-46		71.9	250			2			22			0.58	0.3			0.03	0.00004     
poputrem				0.107	0.16		100	140		1.90    115		0.2		1		-46		71.9	250			2			22			0.58	0.3			0.03	0.00004     
>>prunsero				0.125	0.25		111	152		1.68    90		0.2		1		-46		71.9	213			3			25     		0.58	0.4			0.03	0.00004                                                                                                                            
>>queralba				0.063	0.18		118	160		1.50    100		0.2		1		-46		71.9	175			2			26			0.58	0.4			0.03	0.00004    
>>quercocc				0.05	0.17		118	160		1.25    95		0.2		1		-46		71.9	213			2			26			0.58	0.4			0.03	0.00004     
>>querprin				0.17	0.26		111	152		1.43    90		0.2		1		-46		71.9	175			2			26			0.58	0.4			0.03	0.00004     
>>querrubr				0.075	0.17		111	152		1.3     85		0.2		1		-46		71.9	175			2			24			0.58	0.4			0.03	0.00004     
>>quervelu				0.170	0.26		111	152		1.62    85		0.2		1		-46		71.9	175			2			24			0.58	0.4			0.03	0.00004     
thujocci				0.125	0.25		105	145		0.50    245		0		0.5		5.3		21.5	213			3			20			0.5		0.4			0.13	0.00005     
>>tiliamer				0.075	0.12		111	152		1.56    75		0.2		1		-46		71.9	137			3			23			0.58	0.4			0.03	0.00004     
tsugcana				0.024	0.25		105	145		0.80    195		0		0.3333	5.3		21.5	100			3			21			0.5		0.3			0.06	0.00005     
>>ulmuamer				0.075	0.12		105 145		1.38    85		0.2		1		-46		71.9	137			3			23			0.58	0.4			0.03	0.00004     

>>KWdLit default=0.1.  Use values from Mattson 1987 Decomposition of woody debris in a regenerating, clear-cut forest in the Southern Appalachians when available.  Otherwise: 0.075 for hardwoods and 0.125 for softwoods
>>FolLignin default = 0.02; Range in Aber and Mellilo (1982 Can J Bot 60:2267) = 0-0.25
>>Picea abies from literature and PnET User Guide (see Calibration_piceabie.xls, Marco Mina 26/11/2018)








































































































































































































