Year Month Tmax Tmin PAR Prec CO2 O3
1800-1899 1 -6.03 -16.39 133.561 80.96 295.84 0
1800-1899 2 -5.2 -16.28 197.62 63.36 296.24 0
1800-1899 3 1.2 -8.9 329.237 69.94 296.61 0
1800-1899 4 9.67 -0.65 386.918 81.89 296.87 0
1800-1899 5 17.67 5.65 462.879 82.05 296.83 0
1800-1899 6 23.07 11.26 479.046 95.72 296.11 0
1800-1899 7 25.33 13.88 505.211 107.97 294.5 0
1800-1899 8 23.93 12.66 443.053 107.14 292.93 0
1800-1899 9 19.68 8.54 321.46 101.29 292.93 0
1800-1899 10 12.65 2.89 198.082 91.62 294 0
1800-1899 11 4.63 -3.34 112.472 94.36 295.04 0
1800-1899 12 -3.22 -11.81 90.862 91.56 295.71 0
1900 1 -7.1 -15.2 145.59 101.1 296.21 0
1900 2 -5.8 -15.4 178 122.4 296.61 0
1900 3 -1.9 -11.7 328.23 68.8 296.98 0
1900 4 5.9 -2.1 388.12 93 297.24 0
1900 5 18.4 5.8 445.87 59.7 297.2 0
1900 6 22.8 11.6 498.62 157.7 296.49 0
1900 7 26.1 15.1 420.71 103.9 294.87 0
1900 8 26.9 15 444.53 71.4 293.31 0
1900 9 19.4 8.3 349.94 150.9 293.3 0
1900 10 12.4 3.3 174.43 102.9 294.38 0
1900 11 3.1 -4.9 130.18 27.2 295.42 0
1900 12 -3.3 -10.8 98.89 98.3 296.08 0
1901 1 -6.5 -14.6 149.48 116.8 296.57 0
1901 2 -3.4 -14 225.44 43.4 296.98 0
1901 3 1.8 -5.6 322.93 85.6 297.34 0
1901 4 10.4 -0.6 363.61 18 297.59 0
1901 5 16.9 4.7 442.75 44.2 297.55 0
1901 6 24.2 12.3 535.76 96.5 296.82 0
1901 7 26.7 13.9 471.18 76.2 295.2 0
1901 8 23.3 14.1 409.29 140.2 293.63 0
1901 9 17.9 7.1 332.54 92.5 293.62 0
1901 10 12.5 3.6 210.47 49.5 294.69 0
1901 11 6.3 -0.3 103.89 132.8 295.72 0
1901 12 -3 -10.1 89.16 124.5 296.39 0
1902 1 -6.9 -18 145.59 124.6 296.87 0
1902 2 -7 -19.2 178 9.4 297.28 0
1902 3 -0.6 -12.2 328.23 67.7 297.64 0
1902 4 8.2 -1.9 388.12 46 297.9 0
1902 5 21.4 7 445.87 33.2 297.85 0
1902 6 22.7 10.8 498.62 90.2 297.13 0
1902 7 26.4 12.8 420.71 53.9 295.51 0
1902 8 24.5 12 444.53 134.8 293.95 0
1902 9 17 3.6 349.94 77.8 293.95 0
1902 10 10.6 0.4 174.43 96.4 295.02 0
1902 11 4.5 -6.5 130.18 86.6 296.07 0
1902 12 -3.4 -14.7 98.89 89.4 296.73 0
1903 1 -11.3 -24.1 139.6 102.9 297.22 0
1903 2 -5.9 -16.6 179.02 52.2 297.62 0
1903 3 2 -10.4 322.46 101.1 297.98 0
1903 4 8.1 -3.9 402.29 74.6 298.24 0
1903 5 19.6 5.1 469.37 46.6 298.19 0
1903 6 21.3 9.1 438.98 115.4 297.47 0
1903 7 25.6 12.3 533.27 50.4 295.85 0
1903 8 22 10.2 432.1 132.3 294.28 0
1903 9 19 8.6 297.82 145.1 294.27 0
1903 10 13 2.9 213.98 64.2 295.33 0
1903 11 7 -2.9 118.96 151.3 296.37 0
1903 12 0.6 -9.7 96.89 115.9 297.03 0
1904 1 -7.1 -16.9 145.56 73.8 297.51 0
1904 2 0.8 -8.6 221.06 95.4 297.91 0
1904 3 -2.5 -12.7 367.13 66.8 298.27 0
1904 4 11.4 0.2 398.66 59.8 298.53 0
1904 5 14.7 5 487.22 144.2 298.49 0
1904 6 22.7 10.9 392.4 80.8 297.77 0
1904 7 24 14 497.05 156.8 296.15 0
1904 8 24.9 14.7 437.54 142.8 294.58 0
1904 9 16.8 5.7 345.15 35 294.57 0
1904 10 13.1 2.4 221.82 51.2 295.64 0
1904 11 4.9 -3.9 130.1 102.2 296.68 0
1904 12 -0.6 -10 67.1 95.6 297.34 0
1905 1 -10.3 -20.6 149.48 87.4 297.83 0
1905 2 -8.8 -19.1 225.44 92.2 298.24 0
1905 3 -2.8 -12.4 322.93 51.3 298.6 0
1905 4 5.6 -2.9 363.61 62.2 298.86 0
1905 5 10.8 1.2 442.75 45.2 298.82 0
1905 6 18.9 9.3 535.76 101.3 298.11 0
1905 7 22.2 12.3 471.18 93.2 296.49 0
1905 8 19.2 10.2 409.29 119.1 294.92 0
1905 9 12.6 3.9 332.54 127.3 294.91 0
1905 10 8.4 0.2 210.47 68.6 295.98 0
1905 11 3.3 -4.3 103.89 63.5 297.02 0
1905 12 -8.6 -14.2 89.16 52.8 297.68 0
1906 1 -3.2 -17.2 136.98 72.1 298.18 0
1906 2 -4.1 -14.5 190.02 87.6 298.58 0
1906 3 2.6 -6.3 360.2 61.5 298.95 0
1906 4 10.9 -0.7 331.73 39.4 299.22 0
1906 5 15.3 4.6 514.53 124.2 299.18 0
1906 6 20.8 9.6 432.55 125.7 298.47 0
1906 7 25.3 14.6 438.73 183.9 296.86 0
1906 8 21.8 13.2 451.94 48.3 295.3 0
1906 9 20.6 9.4 265.81 48.5 295.3 0
1906 10 15.2 4.1 187.44 102.6 296.38 0
1906 11 6.6 -2.1 107.11 351.5 297.42 0
1906 12 1.4 -10 71.09 161 298.1 0
1907 1 -5.1 -14.8 145.56 63.8 298.6 0
1907 2 -7 -20.5 221.06 96.5 299.01 0
1907 3 2 -10.8 367.13 68.3 299.38 0
1907 4 9.6 -0.9 398.66 87.4 299.65 0
1907 5 17.4 4.4 487.22 86.4 299.62 0
1907 6 24.4 11.6 392.4 67.3 298.91 0
1907 7 25.8 15.4 497.05 118.4 297.3 0
1907 8 21.1 11.2 437.54 195.8 295.74 0
1907 9 17.6 5.4 345.15 152.1 295.74 0
1907 10 16.1 5.2 221.82 37.1 296.82 0
1907 11 7.2 -0.4 130.1 175.5 297.86 0
1907 12 -9.1 -16.4 67.1 54.9 298.54 0
1908 1 -1.3 -11.6 146.99 75.2 299.03 0
1908 2 -4.6 -16.5 218.35 56.7 299.44 0
1908 3 1.7 -10.3 335.2 63.4 299.81 0
1908 4 10.5 -0.3 433.87 84.8 300.08 0
1908 5 17.1 3.3 576.61 76.3 300.04 0
1908 6 22.4 10.7 515 130 299.33 0
1908 7 25 12.7 522.03 94.3 297.72 0
1908 8 24.6 12.2 465.47 123 296.16 0
1908 9 18.3 6.6 281.92 101.7 296.15 0
1908 10 12 2.2 215.82 150.8 297.23 0
1908 11 4.9 -3.9 108.66 104.1 298.27 0
1908 12 -1 -12.4 89.62 130.6 298.94 0
1909 1 -5.2 -15.6 124.28 104.1 299.44 0
