Year Month Tmax Tmin PAR Prec CO2 O3
1800-1899 1 -6.04 -16.57 133.561 79.39 295.84 0
1800-1899 2 -4.59 -15.47 197.62 69.1 296.24 0
1800-1899 3 1.27 -8.97 329.237 73.07 296.61 0
1800-1899 4 10.01 -0.47 386.918 78.32 296.87 0
1800-1899 5 17.92 6.03 462.879 80.95 296.83 0
1800-1899 6 23.28 11.5 479.046 95.62 296.11 0
1800-1899 7 25.52 14.2 505.211 109.9 294.5 0
1800-1899 8 24.25 13 443.053 101.92 292.93 0
1800-1899 9 19.44 8.28 321.46 95.29 292.93 0
1800-1899 10 12.75 2.97 198.082 91.84 294 0
1800-1899 11 4.66 -3.16 112.472 95.01 295.04 0
1800-1899 12 -2.94 -11.67 90.862 89.17 295.71 0
1900 1 -3.1 -11.7 145.59 36.8 296.21 0
1900 2 -2.9 -14.8 178 53.3 296.61 0
1900 3 -0.3 -12.7 328.23 63.5 296.98 0
1900 4 8.8 -0.8 388.12 69.6 297.24 0
1900 5 15.6 2.4 445.87 81.5 297.2 0
1900 6 22.5 11.9 498.62 84.8 296.49 0
1900 7 23.9 13.8 420.71 80.5 294.87 0
1900 8 23.9 12.7 444.53 49 293.31 0
1900 9 17.5 6.7 349.94 89.2 293.3 0
1900 10 13.8 3.2 174.43 28.4 294.38 0
1900 11 6.2 -3 130.18 60.7 295.42 0
1900 12 -3.5 -12.2 98.89 52.8 296.08 0
1901 1 -7.2 -16.9 149.48 112.6 296.57 0
1901 2 -2.9 -14.4 225.44 71.8 296.98 0
1901 3 5 -4.9 322.93 64.2 297.34 0
1901 4 8 -1.2 363.61 131.2 297.59 0
1901 5 16.4 5 442.75 122.2 297.55 0
1901 6 20.9 9.9 535.76 96.9 296.82 0
1901 7 23.8 12.6 471.18 60.6 295.2 0
1901 8 23.3 12.5 409.29 135.1 293.63 0
1901 9 17.2 7.4 332.54 105 293.62 0
1901 10 11.4 2.7 210.47 67.8 294.69 0
1901 11 4.5 -1.3 103.89 61.6 295.72 0
1901 12 -6.4 -15 89.16 158.2 296.39 0
1902 1 -10.3 -19.9 145.59 32.5 296.87 0
1902 2 -8 -17.5 178 38.1 297.28 0
1902 3 1.2 -7.4 328.23 93 297.64 0
1902 4 12.9 0.3 388.12 49.5 297.9 0
1902 5 17.9 3.9 445.87 55.9 297.85 0
1902 6 20.7 9.3 498.62 65 297.13 0
1902 7 25.7 12.9 420.71 65.3 295.51 0
1902 8 22.2 9.9 444.53 36.3 293.95 0
1902 9 21.9 10 349.94 35.6 293.95 0
1902 10 14.7 4.9 174.43 94.2 295.02 0
1902 11 1.6 -4.3 130.18 68.8 296.07 0
1902 12 -4.7 -12.4 98.89 78 296.73 0
1903 1 -6.1 -17.4 139.6 149.8 297.22 0
1903 2 -9.3 -21.6 179.02 70 297.62 0
1903 3 1.1 -11.6 322.46 86.2 297.98 0
1903 4 9.6 -1.2 402.29 125.8 298.24 0
1903 5 16.6 5.7 469.37 85.2 298.19 0
1903 6 21.2 9.8 438.98 117.4 297.47 0
1903 7 24.3 13.6 533.27 92.4 295.85 0
1903 8 24 12.7 432.1 85.8 294.28 0
1903 9 17.3 7 297.82 150.4 294.27 0
1903 10 9.1 -0.2 213.98 150.4 295.33 0
1903 11 3.4 -5.4 118.96 91.4 296.37 0
1903 12 -3.7 -13 96.89 84.6 297.03 0
1904 1 -5.8 -15.8 145.56 20.2 297.51 0
1904 2 -5.7 -18.1 221.06 13 297.91 0
1904 3 1.6 -10.2 367.13 52 298.27 0
1904 4 10.6 0.6 398.66 96.9 298.53 0
1904 5 18.9 3.7 487.22 55.2 298.49 0
1904 6 20.9 9.1 392.4 69.6 297.77 0
1904 7 24.2 12 497.05 115.7 296.15 0
1904 8 24 12.1 437.54 141.2 294.58 0
1904 9 17.1 5.7 345.15 141.3 294.57 0
1904 10 9.1 0.1 221.82 100.1 295.64 0
1904 11 1.6 -5.8 130.1 72.9 296.68 0
1904 12 -8 -20.1 67.1 89.5 297.34 0
1905 1 -6.9 -17.7 149.48 110.2 297.83 0
1905 2 -5.6 -17.1 225.44 69.1 298.24 0
1905 3 -0.8 -12 322.93 82 298.6 0
1905 4 5.4 -3.2 363.61 87.1 298.86 0
1905 5 20.5 6.7 442.75 70.6 298.82 0
1905 6 23.2 11.6 535.76 97.5 298.11 0
1905 7 26.8 15.2 471.18 164.1 296.49 0
